wavelength	fluorescence
758.5	0.332
759.0	0.327
759.5	0.322
760.0	0.316
760.5	0.311
761.0	0.306
761.5	0.302
762.0	0.297
762.5	0.293
763.0	0.289
763.5	0.285
764.0	0.281
764.5	0.276
765.0	0.272
765.5	0.268
766.0	0.265
766.5	0.262
767.0	0.259
767.5	0.256
768.0	0.253
768.5	0.250
769.0	0.247
769.5	0.244
770.0	0.241
770.5	0.239
771.0	0.237
771.5	0.235
772.0	0.233
772.5	0.231
773.0	0.229
773.5	0.227
774.0	0.226
774.5	0.224
775.0	0.223
775.5	0.222
776.0	0.221
776.5	0.220
777.0	0.219
777.5	0.218
778.0	0.217
778.5	0.215
779.0	0.214
779.5	0.213
780.0	0.212
780.5	0.211
781.0	0.210
781.5	0.209
782.0	0.208
782.5	0.207
783.0	0.206
783.5	0.206
784.0	0.205
784.5	0.204
785.0	0.204
785.5	0.204
786.0	0.203
786.5	0.203
787.0	0.203
787.5	0.203
788.0	0.203
788.5	0.203
789.0	0.203
789.5	0.202
790.0	0.202
790.5	0.201
791.0	0.200
791.5	0.200
792.0	0.199
792.5	0.199
793.0	0.198
793.5	0.197
794.0	0.197
794.5	0.196
795.0	0.195
795.5	0.194
796.0	0.193
796.5	0.192
797.0	0.191
797.5	0.191
798.0	0.190
798.5	0.189
799.0	0.188
799.5	0.187
800.0	0.186
800.5	0.185
801.0	0.184
801.5	0.183
802.0	0.182
802.5	0.181
803.0	0.180
803.5	0.179
804.0	0.178
804.5	0.176
805.0	0.175
805.5	0.174
806.0	0.172
806.5	0.171
807.0	0.169
807.5	0.168
808.0	0.166
808.5	0.164
809.0	0.162
809.5	0.160
810.0	0.159
810.5	0.157
811.0	0.156
811.5	0.154
812.0	0.153
812.5	0.151
813.0	0.150
813.5	0.148
814.0	0.146
814.5	0.145
815.0	0.143
815.5	0.141
816.0	0.140
816.5	0.138
817.0	0.136
817.5	0.135
818.0	0.133
818.5	0.132
819.0	0.130
819.5	0.129
820.0	0.127
820.5	0.126
821.0	0.125
821.5	0.123
822.0	0.122
822.5	0.120
823.0	0.118
823.5	0.116
824.0	0.115
824.5	0.114
825.0	0.112
825.5	0.111
826.0	0.109
826.5	0.108
827.0	0.106
827.5	0.104
828.0	0.103
828.5	0.102
829.0	0.100
829.5	0.099
830.0	0.098
830.5	0.096
831.0	0.095
831.5	0.094
832.0	0.093
832.5	0.092
833.0	0.090
833.5	0.089
834.0	0.089
834.5	0.087
835.0	0.086
835.5	0.085
836.0	0.084
836.5	0.083
837.0	0.082
837.5	0.080
838.0	0.080
838.5	0.079
839.0	0.078
839.5	0.077
840.0	0.076
840.5	0.075
841.0	0.074
841.5	0.073
842.0	0.072
842.5	0.071
843.0	0.071
843.5	0.070
844.0	0.069
844.5	0.068
845.0	0.067
845.5	0.066
846.0	0.065
846.5	0.064
847.0	0.064
847.5	0.063
848.0	0.062
848.5	0.062
849.0	0.061
849.5	0.060
850.0	0.060
850.5	0.059
851.0	0.058
851.5	0.058
852.0	0.057
852.5	0.056
853.0	0.056
853.5	0.055
854.0	0.054
854.5	0.053
855.0	0.053
855.5	0.052
856.0	0.051
856.5	0.050
857.0	0.050
857.5	0.049
858.0	0.049
858.5	0.048
859.0	0.047
859.5	0.047
860.0	0.047
860.5	0.046
861.0	0.046
861.5	0.045
862.0	0.044
862.5	0.044
863.0	0.043
863.5	0.043
864.0	0.042
864.5	0.042
865.0	0.042
865.5	0.041
866.0	0.041
866.5	0.040
867.0	0.040
867.5	0.040
868.0	0.039
868.5	0.039
869.0	0.038
869.5	0.038
870.0	0.038
870.5	0.037
871.0	0.037
871.5	0.036
872.0	0.036
872.5	0.035
873.0	0.035
873.5	0.035
874.0	0.034
874.5	0.034
875.0	0.034
875.5	0.033
876.0	0.033
876.5	0.033
877.0	0.033
877.5	0.032
878.0	0.032
878.5	0.032
879.0	0.032
879.5	0.031
880.0	0.031
880.5	0.031
881.0	0.031
881.5	0.030
882.0	0.030
882.5	0.030
883.0	0.030
883.5	0.029
884.0	0.029
884.5	0.029
885.0	0.029
885.5	0.029
886.0	0.028
886.5	0.028
887.0	0.028
887.5	0.028
888.0	0.027
888.5	0.027
889.0	0.027
889.5	0.026
890.0	0.026
890.5	0.026
891.0	0.026
891.5	0.025
892.0	0.025
892.5	0.025
893.0	0.025
893.5	0.025
894.0	0.025
894.5	0.025
895.0	0.024
895.5	0.024
896.0	0.024
896.5	0.024
897.0	0.024
897.5	0.024
898.0	0.024
898.5	0.024
899.0	0.024
899.5	0.023
900.0	0.023
900.5	0.023
901.0	0.023
901.5	0.023
902.0	0.022
902.5	0.022
903.0	0.022
903.5	0.022
904.0	0.022
904.5	0.022
905.0	0.021
905.5	0.021
906.0	0.021
906.5	0.021
907.0	0.021
907.5	0.021
908.0	0.021
908.5	0.021
909.0	0.020
909.5	0.020
910.0	0.020
910.5	0.020
911.0	0.020
911.5	0.019
912.0	0.019
912.5	0.019
913.0	0.019
913.5	0.019
914.0	0.019
914.5	0.019
915.0	0.018
915.5	0.018
916.0	0.018
916.5	0.018
917.0	0.018
917.5	0.017
918.0	0.017
918.5	0.017
919.0	0.017
919.5	0.017
920.0	0.017
920.5	0.016
921.0	0.016
921.5	0.016
922.0	0.016
922.5	0.016
923.0	0.016
923.5	0.016
924.0	0.016
924.5	0.015
925.0	0.015
925.5	0.015
926.0	0.015
926.5	0.015
927.0	0.014
927.5	0.014
928.0	0.014
928.5	0.014
929.0	0.014
929.5	0.014
930.0	0.013
930.5	0.013
931.0	0.013
931.5	0.013
932.0	0.013
932.5	0.013
933.0	0.013
933.5	0.013
934.0	0.012
934.5	0.012
935.0	0.012
935.5	0.012
936.0	0.012
936.5	0.012
937.0	0.011
937.5	0.011
938.0	0.011
938.5	0.011
939.0	0.011
939.5	0.011
940.0	0.011
940.5	0.011
941.0	0.010
941.5	0.010
942.0	0.010
942.5	0.010
943.0	0.010
943.5	0.010
944.0	0.009
944.5	0.009
945.0	0.009
945.5	0.009
946.0	0.009
946.5	0.009
947.0	0.009
947.5	0.009
948.0	0.009
948.5	0.008
949.0	0.008
949.5	0.008
950.0	0.008
950.5	0.008
951.0	0.008
951.5	0.008
952.0	0.008
952.5	0.007
953.0	0.007
953.5	0.007
954.0	0.007
954.5	0.007
955.0	0.007
955.5	0.007
956.0	0.007
956.5	0.007
957.0	0.007
957.5	0.006
958.0	0.006
958.5	0.006
959.0	0.006
959.5	0.006
960.0	0.006
960.5	0.006
961.0	0.006
961.5	0.006
962.0	0.006
962.5	0.006
963.0	0.006
963.5	0.005
964.0	0.005
964.5	0.005
965.0	0.005
965.5	0.005
966.0	0.005
966.5	0.005
967.0	0.005
967.5	0.005
968.0	0.005
968.5	0.005
969.0	0.005
969.5	0.005
970.0	0.005
970.5	0.005
971.0	0.005
971.5	0.005
972.0	0.005
972.5	0.005
973.0	0.005
973.5	0.004
974.0	0.004
974.5	0.004
975.0	0.004
975.5	0.004
976.0	0.004
976.5	0.004
977.0	0.004
977.5	0.004
978.0	0.004
978.5	0.004
979.0	0.004
979.5	0.004
980.0	0.004
980.5	0.004
981.0	0.004
981.5	0.004
982.0	0.004
982.5	0.004
983.0	0.004
983.5	0.004
984.0	0.004
984.5	0.004
985.0	0.004
985.5	0.004
986.0	0.004
986.5	0.004
987.0	0.004
987.5	0.004
988.0	0.004
988.5	0.004
989.0	0.004
989.5	0.004
990.0	0.004
990.5	0.004
991.0	0.004
991.5	0.003
992.0	0.003
992.5	0.003
993.0	0.003
993.5	0.003
994.0	0.003
994.5	0.003
995.0	0.003
995.5	0.003
996.0	0.003
996.5	0.003
997.0	0.003
997.5	0.003
998.0	0.003
998.5	0.003
999.0	0.003
999.5	0.003
1000.0	0.003
